040T22222S61_6_A 	2-DD1.12: 7
040T22222S61_6_E 	2-DD1.12: 8
040T22222S61_6_B 	2-DD1.12: 9
040T22222S61_6_F 	2-DD1.12: 12
040T22222S02_8_H 	2-DD1.12: 13
040T22222S02_8_I 	2-DD1.12: 14
040T22222S02_8_C 	2-DD1.12: 15
040T22222S02_8_D 	2-DD1.12: 16
040T22222S02_8_  	2-DD1.12: 17
040T22222S02_8_A 	
040T22222S02_8_E 	2-DD1.12: 19
040T22222S02_8_B 	2-DD1.12: 22
040T22222S02_8_F 	2-DD1.12: 23
040T22222S13_10_H 	2-DD1.12: 24
040T22222S13_10_I 	2-DD1.12: 25
040T22222S13_10_C 	2-DD1.12: 26
040T22222S13_10_D 	2-DD1.12: 27
040T22222S13_10_T 	2-DD1.12: 28
040T22222S13_10_  	2-DD1.12: 29
040T22222S13_10_E 	
040T22222S13_10_B 	2-DD1.12: 33
040T22222S13_10_F 	2-DD1.12: 34
040T22222S38_13_H 	2-DD1.6: 2
040T22222S38_13_I 	2-DD1.6: 3
040T22222S38_13_C 	2-DD1.6: 4
040T22222S38_13_D 	2-DD1.6: 5
040T22222S38_13_T 	2-DD1.6: 6
040T22222S38_13_A 	2-DD1.6: 7
040T22222S38_13_  	2-DD1.6: 8
040T22222S38_13_B 	
040T22222S38_13_F 	2-DD1.6: 12
040T22222S66_14_H 	2-DD1.6: 13
040T22222S66_14_I 	2-DD1.6: 14
040T22222S66_14_C 	2-DD1.6: 15
040T22222S66_14_D 	2-DD1.6: 16
040T22222S66_14_T 	2-DD1.6: 17
040T22222S66_14_A 	2-DD1.6: 18
040T22222S66_14_E 	2-DD1.6: 19
040T22222S66_14_  	2-DD1.6: 22
040T22222S66_14_F 	
040T22222S37_15_H 	2-DD1.6: 24
040T22222S37_15_I 	2-DD1.6: 25
040T22222S37_15_C 	2-DD1.6: 26
040T22222S37_15_D 	2-DD1.6: 27
040T22222S37_15_T 	2-DD1.6: 28
040T22222S37_15_A 	2-DD1.6: 29
040T22222S37_15_E 	2-DD1.6: 32
040T22222S37_15_B 	2-DD1.6: 33
040T22222S37_15_  	2-DD1.6: 34
040T22223S07_1_H 	
040T22223S07_1_I 	2-DD1.13: 3
040T22223S07_1_C 	2-DD1.13: 4
040T22223S07_1_D 	2-DD1.13: 5
040T22223S07_1_T 	2-DD1.13: 6
040T22223S07_1_A 	2-DD1.13: 7
040T22223S07_1_E 	2-DD1.13: 8
040T22223S07_1_B 	2-DD1.13: 9
040T22223S07_1_F 	2-DD1.13: 12
040T22223S38_2_H 	
040T22223S38_2_I 	3-DD1.3: 3
040T22223S38_2_C 	3-DD1.3: 4
040T22223S38_2_D 	3-DD1.3: 5
040T22223S38_2_T 	3-DD1.3: 6
040T22223S38_2_A 	3-DD1.3: 7
040T22223S38_2_E 	3-DD1.3: 8
040T22223S38_2_B 	3-DD1.3: 9
040T22223S38_2_F 	3-DD1.3: 12
040T22223S51_3_  	3-DD1.3: 13
040T22223S51_3_I 	
040T22223S51_3_C 	3-DD1.3: 15
040T22223S51_3_D 	3-DD1.3: 16
040T22223S51_3_T 	3-DD1.3: 17
040T22223S51_3_A 	3-DD1.3: 18
040T22223S51_3_E 	3-DD1.3: 19
040T22223S51_3_B 	3-DD1.3: 22
